name,price,image_url,units,category
"All-Round Protection Diaper Pants - M, 7-12 kg, Anti-Rash, Ultra Absorb",3149,https://www.bigbasket.com/media/uploads/p/l/40178128_7-pampers-diaper-pants-medium.jpg,200 pcs,Baby Care
"All-Round Protection Diaper Pants - M, 7-12 kg, Anti-Rash, Ultra Absorb, Leakage Prevention for upto 12 Hours",2399,https://www.bigbasket.com/media/uploads/p/l/40111396_7-pampers-diaper-pants-medium.jpg,152 pcs,Baby Care
Diaper Pants - Medium,399,https://www.bigbasket.com/media/uploads/p/l/280316_19-pampers-diaper-pants-medium.jpg,26 pcs,Baby Care
"All-Round Protection Diaper Pants - Medium, 7-12 kg, Anti-Rash, Ultra Absorb",799,https://www.bigbasket.com/media/uploads/p/l/40131175_9-pampers-diaper-pants-medium.jpg,50 pcs,Baby Care
Chicken Curry Cut Without Skin 500 g + Mutton - Curry Cut 500 g,1041,https://www.bigbasket.com/media/uploads/p/l/1221155_1-fresho-chicken-curry-cut-without-skin-500-g-mutton-curry-cut-500-g.jpg,Combo,"Eggs, Meat & Fish"
Chicken Curry Cut Without Skin 500 g + Mutton - Curry Cut 500 g,1041,https://www.bigbasket.com/media/uploads/p/l/1221157_1-fresho-chicken-curry-cut-without-skin-500-g-mutton-curry-cut-500-g.jpg,Combo,"Eggs, Meat & Fish"
Amla (Loose),135.06,https://www.bigbasket.com/media/uploads/p/l/10000332_14-fresho-amla.jpg,1 kg,Fruits & Vegetables
Amla (Loose),33.77,https://www.bigbasket.com/media/uploads/p/l/10000293_14-fresho-amla.jpg,250 g,Fruits & Vegetables
Amla (Loose),67.53,https://www.bigbasket.com/media/uploads/p/l/10000294_14-fresho-amla.jpg,500 g,Fruits & Vegetables
Amla (Loose),13.51,https://www.bigbasket.com/media/uploads/p/l/40004383_12-fresho-amla.jpg,100 g,Fruits & Vegetables
Cold Extracted Juice - Valencia Orange,400,https://www.bigbasket.com/media/uploads/p/l/1205768_4-raw-pressery-cold-extracted-juice-valencia-orange.jpg,4x250 ml,Beverages
Cold Extracted Juice - Valencia Orange,200,https://www.bigbasket.com/media/uploads/p/l/1206925_2-raw-pressery-cold-extracted-juice-valencia-orange.jpg,2x250 ml,Beverages
Cold Extracted Juice - Valencia Orange,330,https://www.bigbasket.com/media/uploads/p/l/40086192_7-raw-pressery-cold-extracted-juice-valencia-orange.jpg,1 L,Beverages
Cold Extracted Juice - Valencia Orange,100,https://www.bigbasket.com/media/uploads/p/l/40065041_5-raw-pressery-cold-extracted-juice-valencia-orange.jpg,250 ml,Beverages
Cold Extracted Juice - Valencia Orange,660,https://www.bigbasket.com/media/uploads/p/l/1207414_8-raw-pressery-cold-extracted-juice-valencia-orange.jpg,2x1 L,Beverages
Valencia Orange  - 100% Natural Cold Pressed Juice,300,https://www.bigbasket.com/media/uploads/p/l/1208632_2-raw-pressery-valencia-orange-100-natural-cold-pressed-juice.jpg,3x250 ml,Beverages
